customer_id,treatment,converted,value,uplift_score
1e8d566c1c,1,1,5360,0.00492
157460c45e,0,0,2624,0.14626
8c5698c6d9,0,1,4659,0.03548
823e0d4a71,1,1,6104,0.00117
f9ab8bf2a9,1,1,276,0.34284
a21ef100e2,1,1,6431,0.00186
55a0da2443,1,1,7659,0.005
992e959f0b,0,1,3812,0.07198
ab3e915ec6,0,1,1435,0.00873
753baf7b19,0,1,14545,-0.00263
56255180b5,1,1,26974,0.00729
e572ef5251,1,1,41134,0.00841
2401e22d05,0,1,18665,0.0414
474c66e3e2,1,0,3747,0.0009
ab013b3481,1,1,9265,0.02567
0183802777,1,1,2135,0.13499
91f804fa76,0,0,8418,0.01902
86c1b864d9,0,1,1863,0.0564
702317af3b,1,1,20731,0.005
9ff83de6d3,1,1,4278,0.00953
18153c5350,0,1,12270,0.02983
7812386ff9,0,0,5628,0.0654
c446ec6290,1,1,4653,-0.00735
1e6450af84,1,0,4224,0.0271
29c8f24385,1,0,6289,0.04656
11094c46fe,0,1,12872,0.01187
5329a02903,0,1,4615,0.0561
01dc177a0f,0,1,5628,0.04259
6913904438,0,0,2286,0.10664
1bdf3bd6db,0,0,6324,0.02122
c2cb71ae26,0,1,14368,0.01996
544e3eced6,0,0,3176,0.07987
3a455db9d2,1,1,12002,0.01194
69ec463b29,0,1,844,0.09032
4a7ff7c6f3,0,1,2435,0.02226
c59e0fee5f,0,1,3067,0.02699
ebafd2e9b9,0,0,891,0.04948
f33b6e1a92,1,1,8591,0.05631
1908d556ce,1,1,4082,0.02096
c879cf5091,1,0,4205,0.00913
2b29c504cd,1,1,3904,0.03134
2f920b43f7,0,0,11898,-0.01754
31607de075,0,1,1371,0.05322
91ff5dd464,1,1,14019,0.00019
ca1d5e0f58,1,0,1672,-0.0031
497ebb7f6c,0,1,21384,0.00517
e6d9ac78ef,0,1,4151,0.02437
32aa03ff72,1,1,7625,0.05282
1c7a5ef2c6,0,0,7950,0.01685
5769bf7636,1,1,16279,0.00364
a8b902c13a,0,1,14534,0.00601
b4f193b0c0,0,1,3600,0.01096
4e30fb2f3b,0,1,4051,0.03666
e5495b300c,0,1,8512,0.01125
291f0daf8c,1,1,4929,0.00857
e92182e031,0,0,2455,0.03243
c793abdbb6,0,1,5057,0.02822
acfcf48a2b,0,1,12838,-0.00302
53b28c3b61,0,1,30917,0.05226
9eb95e629c,0,1,10934,0.00268
585ca54cfb,1,1,4269,0.01583
4fd4824220,0,0,4981,0.04302
ee3a9b1999,0,0,11994,0.01463
f1460aad7f,1,1,1174,0.1799
ca6cfcd14f,0,1,7950,0.04859
8c981a8b78,0,1,12579,0.00648
4e78023c5b,0,1,583,0.08042
c504a1ab5c,1,1,14810,0.00527
5f13723729,1,1,8306,0.02064
23d2a09c89,0,1,14691,-0.00847
e23844846f,0,1,10727,0.01875
88247dc43a,0,0,3034,0.02349
de4917d1ed,1,1,4770,0.01642
4e2a6031c5,1,1,8932,0.00693
77c54c1f6d,0,1,6378,0.00406
cb06e4cd8c,0,1,18585,0.00618
bef5a04cee,0,0,2373,0.08608
75db78e557,1,1,6396,0.02658
2b803ac5ea,0,0,2923,0.07355
1c0ba13789,0,1,3816,0.00978
7714d683bb,1,1,3673,0.0293
eb65c0ff55,0,1,4374,0.01477
f67ef2d05c,0,1,4047,0.08729
6a64b0860d,1,0,6453,0.03636
6b53b31e84,1,1,3975,0.01741
fae6ea8ecc,1,1,5431,0.00523
7177df4864,1,1,10985,-0.00047
6f20bcd98d,1,1,7879,0.04067
c10ad91ff3,0,0,2650,0.01094
2a10367db2,0,1,2962,0.0233
2482e4587a,1,1,4261,0.03532
4d11e5b42c,0,0,1568,-0.0056
448064524f,1,0,2000,0.0234
8f2569f68c,1,1,17128,0.00332
064e945df2,0,1,1314,0.09551
80f89e65d4,1,1,24576,0.00649
31f44f644a,0,1,12751,-0.00078
58bdd02ba2,0,1,12553,0.01286
d847c0f314,0,0,20435,0.01273
a8e92b2436,0,1,7589,0.01258
73233784dc,0,1,14512,0.01163
61af18d572,0,0,3854,0.01396
252a870a92,0,1,27310,0.00267
b7b6bab910,1,1,7769,0.00416
d8bb0f7ceb,0,1,5694,0.02229
931da29929,0,1,7195,-0.00382
7990a802c1,1,1,1327,0.11854
8034832798,1,0,1293,0.00313
bb3d831b87,1,0,4613,0.04077
971cd3ac0d,0,1,1868,0.07273
c101908553,1,1,903,0.038
d086575648,0,0,5949,0.02076
1af373d378,1,1,10629,0.02846
44572ca378,1,0,1879,-0.00703
b6fd3048e2,0,1,35599,0.04621
95653779e3,1,1,4668,0.01626
62dc9116f6,1,1,4721,0.03728
a8113ace65,1,1,10231,0.01837
6e7b6c4694,0,0,4756,0.00622
284fbc9c2c,0,0,1740,0.06231
5e68e327ce,0,1,2934,0.02725
4ecd850ce2,1,0,2712,-0.00831
3fecd33874,0,1,17802,0.0099
a872c2dc8b,0,1,6062,0.04145
1de90dda75,0,1,36279,0.00069
62c0b47877,1,1,2517,0.16824
3aa7a63e19,0,1,2275,0.00577
1e71536eb7,1,1,13337,0.03347
8ccc139245,1,0,35287,0.04914
19de3fba7d,0,1,4814,0.01705
367281b23b,1,1,856,0.05929
b27f9feff0,0,1,2667,0.06064
b713456ec8,0,1,4920,0.04859
15a9f48864,1,1,20117,0.00423
520f737a63,1,1,14045,0.00634
5151b03314,1,1,5017,0.05505
734369cd08,1,1,3678,0.04507
1f198c2e70,0,1,10610,0.03417
44a4beac66,0,0,2049,0.0506
af8ddfc65a,0,1,30771,0.0015
181ad5fd30,1,1,2236,0.07223
560ebe97ff,0,1,10565,-0.00295
3613ff7b2a,0,0,6382,0.04258
f97b3a3557,1,1,2963,0.1247
fb5c6d46a4,1,0,769,0.0323
4044459a54,0,1,8126,0.03955
7005548897,0,0,1739,0.02397
488c051038,1,1,7091,-0.00423
8fba2b6d94,1,1,2328,0.03498
75c5c20f78,1,0,4597,0.04833
89d17f02de,1,0,10362,0.01903
5aa26f0d71,0,1,4515,0.02754
c54bc54e6d,0,1,3775,0.01631
5e2e9e2be9,0,1,33664,0.01346
1dbbf68e15,1,0,5061,0.0219
c7c78abfc2,1,0,5969,0.02424
8ef2b66b99,1,0,3619,0.01885
7c1e42d815,1,1,17872,0.004
ac61ccd688,0,1,2803,0.01468
fc5f3b2539,0,1,5338,0.03296
9a08fe815b,0,1,3015,0.0006
07b756ebd9,1,0,3032,0.03544
48e5a1faf5,0,1,15428,0.01587
35a91c9beb,0,0,4241,0.04534
5958a1af81,0,1,11247,0.016
fa45d2aad8,0,1,32114,0.01324
332e5c96ee,0,1,4121,-0.00158
7c5544b958,1,1,12285,0.00969
829ac7b9f0,0,0,5448,0.02545
fdfe3fb6ab,1,0,2037,0.09068
64ccb2cc9a,0,1,4854,0.00459
a00a1d86f1,1,1,10336,0.0142
58f104a916,1,0,2018,-3e-05
2bd1a316a5,0,1,10302,0.03359
4f8fd980ff,0,1,1767,0.01032
c2a8ce4504,1,1,2589,0.00787
5ee2403d15,1,1,8311,0.01049
ac6fd2e11a,0,0,7567,0.06238
bde2513041,1,1,7208,0.05076
137a8d4eff,0,0,10589,0.04411
68411c36f3,0,1,1484,0.0143
788d669e0d,1,0,8677,0.03514
a76848ad76,0,1,2892,0.01494
d992aeb28e,0,0,9947,0.01622
fc7d0bdef4,1,1,25967,0.03728
8dc47079be,1,1,2685,0.02428
cb484dc736,1,1,3553,0.01826
60fd89af70,0,1,5328,0.05712
0e99468ac9,0,1,12078,0.00218
45ccb09e01,0,1,12483,0.00096
0afa8225c0,1,0,3771,0.01089
0309062c69,1,0,2740,-0.00838
625643ef43,0,1,2850,0.0118
3964c5ce2f,0,1,30441,0.0029
1fe70d9f51,0,0,910,0.02694
b242ac328f,1,1,2451,0.04271
b7e1a9b539,1,1,5785,0.04708
feb782afbd,0,0,5349,0.02586
6e3cf189f7,0,0,977,0.09844
0b0d2a6dd8,0,0,54,0.02747
0c038ebed4,1,0,3965,0.002
ebb7a4fa7f,1,0,15741,0.00997
fc145d5900,1,1,4381,0.03799
6a86e55b00,1,0,6558,-0.00497
b05ed559d9,0,0,10911,0.00952
1828e40c41,1,1,13900,0.01386
f85e9fc31e,1,1,13135,0.01767
0262e12d44,0,0,3765,0.01755
83883ab502,0,0,29950,0.01598
5472542eaa,1,0,3063,0.02892
26a53ace70,1,1,2035,-0.00669
54162604c5,0,1,10752,0.00717
43070a1dc8,1,1,15947,0.00739
bba22a0cf9,1,0,1331,0.0116
1331781408,0,0,1968,-0.01121
6f68d1aa77,1,1,27908,0.00623
7cc2352539,0,0,3660,0.01232
2f55f7f96c,0,0,6237,0.06176
b4a1ebcb4e,1,1,5520,0.0204
39e03cfa7f,1,0,932,0.07858
5c73c128f3,1,1,2749,0.03968
58b296c5be,1,1,3535,0.04776
1430df68f1,1,1,6107,0.02973
354497f07d,1,0,1850,0.02571
3b546f86f7,1,0,4044,-0.00859
4c98ffa2b6,0,1,18303,0.00515
a3022c39d7,0,0,480,0.05935
bf4ae9b45c,1,1,8760,0.01171
41acdc4b42,1,1,4635,0.02498
52cb1b96d7,1,1,5572,0.00616
ab7749762f,0,1,25064,0.03341
17dfed218f,1,1,4644,0.09394
7704f2303d,0,1,12212,0.01472
c97dbbffec,0,1,4201,0.01533
3362bc1c59,0,0,1445,0.12275
0d4204a0ed,0,1,4479,0.00207
4fc85ac5fc,0,0,9063,0.00296
a77f4061e3,1,1,8012,0.02167
c0dbfe9fa1,0,1,1028,-0.00441
45fdfab423,1,1,8505,0.00401
0f5c1e9391,0,0,20787,0.00992
9f76f65428,0,1,8919,0.00335
41d538887d,1,0,3244,0.05822
affbf62785,0,0,3954,0.03955
1e67b42fc0,0,0,8645,0.02686
0e4b17f39d,0,0,8976,0.0058
cf69bbba28,1,1,3084,0.01469
36a57e54b4,1,1,7556,0.0096
e4ee54af92,1,0,3788,0.06111
30ab0214b5,0,1,12369,0.02164
b5f84a8c25,1,1,7770,0.06296
031ea94315,0,1,5709,0.01351
d1aa2a5799,1,1,6939,0.02047
317b58e981,0,1,7432,0.03627
59ae08fdf6,0,1,3826,0.01063
f3fb5b0d70,0,0,7435,0.01193
2d63b73712,0,1,3980,0.01138
6d4f11d92a,0,1,7753,0.02996
27607c6c1e,1,1,7523,0.01231
0b12bd59b0,0,1,4585,0.09416
28970582f1,0,1,20009,0.00371
a876f7857b,1,0,985,0.09564
a845bcf32c,0,1,7865,0.02848
dabe4a0a22,0,1,3649,0.05946
bd7343c1df,0,1,4418,0.05643
aba79c0bb7,0,1,12237,0.02022
4301be1a3f,0,1,7642,0.00552
91a61b88d4,1,1,8821,0.02299
06ab87ad85,0,1,14606,0.01914
2a90fb5e8a,0,0,3064,0.0496
e1ad50eb5a,1,1,6440,0.0551
07de7b0f5b,1,0,2478,0.04713
919977faa7,1,0,1304,0.0196
ac41340548,1,0,1772,0.14822
1c72ac5079,1,0,6316,0.02989
d8fa789bd3,0,1,7771,0.02367
82e095553c,0,1,18576,0.00547
c2902740d7,0,0,8630,0.03622
fc41cd9bbc,1,0,3117,0.02343
3827816a1e,0,1,15936,0.00207
3fd8697f9f,0,0,5230,-0.00021
f267d6d33a,0,0,3215,-0.0108
2b48863544,1,1,934,0.0436
8d6585d7d4,1,1,5118,0.03254
bc37070b5e,0,1,11372,0.00988
b32e4b50fe,0,1,4958,0.01054
ee0708e9ab,0,1,7092,0.00372
dd7033a4f6,0,0,8012,-0.00388
baebb28b95,0,0,1708,0.06805
c3874fa8e6,1,0,7996,0.0224
95abac38dd,1,1,15946,0.00203
564d2d4fef,0,1,15411,0.01868
bf2e9afb59,1,0,2293,0.03532
9f7b182462,0,1,12687,0.01294
770b9d3839,1,1,11708,0.0028
3573429b68,0,1,8682,0.01552
477b5887c2,0,0,2323,0.01851
1d34b23f17,0,0,8471,0.03234
fe6a153f8e,0,0,8077,0.08005
d1f8ddfd06,1,1,16076,0.01428
b2cbf54940,0,1,29664,-0.00282
eb2e53a8d1,1,1,7986,0.01322
b2df959cff,0,1,64681,0.00741
48ede487f3,0,0,1966,0.02317
efcadb4688,1,1,17398,0.00875
f93002d2d8,1,0,1682,0.01504
06e6ffc09e,1,1,11356,0.03176
dfd540b842,1,1,13940,0.00386
773187d4d1,0,0,8858,0.00215
90fcad596e,0,0,8324,0.08023
19ac1303c9,1,1,3623,0.05582
85cdc90f92,1,1,13754,0.02984
4095dee77c,1,1,7686,0.01546
8c80aead6d,0,1,9594,0.01573
0061e89efb,0,0,980,0.06769
a69cc24390,1,0,5104,0.06109
1e7b911f70,1,1,9006,0.02931
44c8158f47,1,1,10803,0.00903
eec5510956,0,1,70435,0.00393
90919ed716,1,1,14951,0.00406
c8cfe3f516,1,1,845,0.05097
89f80c0430,0,0,3235,0.03881
fed4b46b66,0,1,8638,-0.00868
4bbd4d725f,0,0,8380,0.0122
24de5efc7c,0,1,15019,0.00686
7282bcb3e8,1,1,5393,0.04008
eb2bbf3f91,0,1,3416,0.03393
7f70906b49,0,1,1281,0.02669
61fabf29f9,1,1,5179,0.01327
54738ef61d,1,1,773,0.09177
70249da100,0,0,7404,0.02922
83dfecc2a8,0,0,6542,0.03773
99642fe32c,0,1,18503,0.00557
82af54e266,1,1,17904,0.02221
4068d48973,0,1,4545,0.04338
2dd43f7f85,0,0,11478,0.01316
4d39c7ab05,1,0,2955,-0.01934
4a8d28db4b,0,1,2287,0.02373
6b3d9335fc,1,1,7102,0.02978
94889b5012,0,1,5730,0.01299
a48b42d95b,0,1,9180,0.04093
bc5361af60,0,1,42474,0.00503
edc5a757d7,1,1,1582,0.00771
f6f70f2f3d,0,1,7524,0.02258
9e3234af01,1,0,3919,-0.00819
2c3d78c061,0,1,886,0.04503
093c9042ff,1,0,1090,0.01621
a604a472b5,0,0,2253,0.01042
d3e756b989,0,0,19265,0.00138
92a328bd89,1,0,2596,0.07704
b68e49ea40,0,0,5089,0.0024
c0955247f1,1,1,22412,0.00251
d10f331e1d,0,0,2943,0.0347
e63df69c9f,1,1,6578,0.02889
8c9c2caa27,0,1,10315,0.02011
7aab60a490,1,0,1816,0.03096
f092d63f44,1,0,6965,0.06483
f5110c0b59,1,1,15422,0.00756
796f998306,0,1,15650,0.00469
9a149d849c,1,1,26243,0.00582
0c9e7e8dda,0,0,8858,0.01339
628c39f0f1,0,1,11651,0.00463
1f56fb9c5f,0,0,2252,0.03389
0b87344758,0,0,1635,0.03699
6cb7510045,1,1,16873,0.01709
b121721dd4,1,1,2922,0.01877
e60e8f618c,0,1,2341,0.07028
60e6df90db,0,0,2667,-0.00557
383e0a9b3e,0,0,5986,0.01381
f08594860a,1,0,29487,0.02787
eff08e6e70,1,0,19470,0.02891
0835850632,1,0,3032,0.01157
bff70e26e8,0,1,3268,0.01556
bfa36088d8,0,0,3905,0.02194
328cdae675,0,1,17871,0.01287
a6b696f410,0,1,3764,0.01485
f72edad6a9,1,1,1016,0.04427
937404d11c,1,1,9184,0.03572
68aeb6119f,1,1,6178,0.0179
53622274a0,0,0,9600,0.05374
33848e1733,0,1,3901,0.04995
b62956b23f,0,0,13149,0.01245
6bb2b65035,0,1,1245,0.08371
e6062cf88b,1,0,6610,0.03873
27d1273c83,0,1,14293,0.00477
9481a72a09,1,1,6594,0.00347
50097c2590,1,1,1633,0.10573
c8355234ac,1,1,10274,0.03961
5a5d54d6e2,0,1,2998,0.04025
7ff1bebe8e,0,1,7670,-0.01651
c8600a7114,0,0,5417,-0.01251
b9632b589f,1,0,5403,0.02708
3941af722c,0,0,4107,0.01055
f73d7fe16b,0,1,23990,0.00291
14496fc1b0,0,1,8264,0.02213
88eb9d8d84,0,1,7862,0.02176
fc83c46b09,0,0,2926,0.06058
ea466c4ad3,1,0,1507,0.04509
ebf034289a,0,1,14636,0.00787
a6075a5438,0,1,7064,0.00997
856f7eb4e4,1,1,2461,0.01999
f1d0bc01c0,0,1,7397,0.01397
d5d08ff5de,1,1,12912,0.00481
f0dec51e76,0,1,12278,0.01002
3606de866d,1,1,1493,0.05328
0b70a4539b,1,1,5100,0.02971
cea9575a3e,1,1,2934,0.00793
c0a05c2029,0,1,16444,0.00184
bac4b61a89,0,1,4861,0.03656
edd6c25339,0,1,2627,0.00683
dd619beba8,1,1,3673,0.00933
2bb7f015e0,0,0,13834,0.00416
d5561ac598,0,0,4763,-0.00815
2f93ac25c7,1,1,15144,0.01859
af1b7237e2,0,1,6324,0.01357
d419fa35f6,0,0,6604,0.0435
c5dd41853b,0,1,4728,0.09026
f25929c143,1,1,16364,-6e-05
9c85d1c1d3,1,1,388,0.16396
9b3850a8ba,1,0,9683,-0.00445
5f2e06a024,0,1,11929,0.01362
6643c46f14,1,1,5434,-0.01551
6e1689dd72,1,1,1852,0.08151
1842c71e54,0,0,6933,0.07101
9d3e13cc3b,0,1,15229,0.00574
258372ee80,0,1,7457,0.01604
fec0b2ac3b,0,0,2951,0.07388
7e4c0f5923,1,1,2944,0.02167
aa29dd960f,1,1,16323,0.0036
654dfe6581,0,1,5840,0.06671
8d1ea24f5e,0,0,9438,0.02148
a3f9477fdd,0,0,5964,0.07003
408d9e58d4,1,0,5692,0.03645
b35ed43ff2,1,1,11477,0.04837
45f7b1ccd0,1,0,3343,-0.01214
88862687c8,1,0,13800,-0.00785
f6aa81225a,0,1,21072,0.01274
204f8e804a,1,0,4424,0.00938
79c66b051f,0,0,11685,-0.01079
9396a81664,0,0,13072,0.05712
dd131cadea,0,0,7722,0.02034
0d057445bb,0,1,6113,0.00573
a6ae0d94d8,0,1,5634,0.00615
e12132fc39,1,1,13401,0.03143
c946cd834f,1,0,7299,-0.00379
a3d66a44c7,1,0,232,0.024
556eef973c,1,1,7298,0.01303
adaabcb5c0,0,1,4248,0.04519
0c88192c37,0,0,4034,0.05752
4593d25f56,0,1,15804,0.00402
8aaf88d0d2,1,0,3210,0.09489
06fcc0e532,0,1,5344,0.03094
670410952e,0,1,13091,0.0286
9cebc77d1a,0,0,10156,0.01733
f352c8f0a1,1,1,9359,0.01431
76c244b750,0,1,22669,0.00539
a9b44a413a,1,1,8123,0.01759
112b9fba5b,0,0,20147,0.00369
eae8bb98c5,1,0,8786,0.01985
138e84fc90,0,1,12018,0.00724
16116b9e3e,0,0,1263,0.14181
3854ab2260,0,0,3966,0.02347
6154de2331,1,1,2571,0.01321
9b3c23439c,0,0,7054,0.01288
a25aad7788,1,0,2567,0.06766
ab47726d7e,1,0,3079,0.04978
5de38c019a,0,1,9104,0.01089
02e7eb87f3,1,0,11403,-0.00205
650b6b235a,1,0,6457,0.01004
d059e0f99f,1,0,4973,0.00608
cbbd3a0add,1,1,16159,0.00157
7810a8094c,1,0,1307,0.02659
4c9e64e4f9,0,1,4679,-0.00945
9885c34edd,1,1,7255,0.02601
c959e2c9b8,1,0,3662,0.03921
5f2d9c4a08,0,0,2123,-0.01498
f03e9868fc,0,1,13165,9e-05
1737ea7163,0,1,4686,0.03925
5fdc90b120,1,0,1655,0.03344
0fa99b8d90,0,1,6401,-0.00548
abe49db93e,1,1,16967,-0.00082
c4c0a0a9a0,1,0,8554,0.00662
e6fadd1286,0,1,23923,0.00192
d10337feff,1,1,6566,0.04847
871a3b7960,0,1,3040,0.04098
19b2991aef,0,0,2811,0.02722
590307feaa,1,0,7948,0.02286
75c7a5ce4c,1,1,6325,0.02522
ece0d1a33d,0,1,684,0.04778
81c5c66cb3,0,0,703,0.16054
00b61963bb,1,1,8470,0.00362
dc60ed7007,1,0,9979,0.04087
c69b288045,0,1,9063,0.00264
c93a7f7ccf,0,0,1306,0.01844
516afd264f,1,1,34257,0.00148
0b55158d86,0,1,16903,0.00276
1ab8292603,0,0,9066,0.02721
5779a71571,0,1,3910,-0.00596
1241e60ab2,0,1,9682,0.00688
97c4c53276,1,1,12499,0.06826
0056079bb2,1,0,42432,0.04322
71dac86728,0,0,5030,0.05031
28eba085d7,1,0,3206,0.03658
3da9dbbae0,1,1,17173,0.00406
f8d29c05a0,0,1,15660,-0.01026
7d9442ea69,1,1,7125,0.03958
3b7b882721,0,0,1682,0.002
0957db9860,1,1,4301,0.00059
c122a927c5,0,1,3696,0.004
b60d312e5e,0,1,23894,0.01543
9729be70e7,0,1,10716,0.01716
b2e9354b56,0,0,674,0.09178
e8a670bee5,0,0,1741,0.01087
fb0df9d619,0,1,12178,0.02231
f18b20b0b7,1,1,13792,0.01551
7509aade10,1,0,631,0.02656
d82aea4372,1,1,7177,-0.00292
6ea011d023,0,1,7000,0.00876
ec8ab0f8fe,1,1,3919,0.0207
f767d2cee9,1,0,5057,-0.00598
fc89196740,0,1,10073,0.0168
a20ed05464,1,1,24355,-0.01162
64df41ef00,1,1,4844,0.01701
b61decfc43,0,0,3522,0.03726
f2204d3d08,0,1,12010,0.00867
cea7fd5729,0,1,29756,0.06414
663c3165f5,0,0,4895,0.0059
60438b1529,0,1,10131,0.00681
52662db99a,0,0,4362,0.01204
998822aa42,0,1,8271,0.00994
cfdba865b6,0,0,6193,0.00726
804c53f55f,0,1,10552,0.01224
63388fb6c6,1,1,9854,0.00922
ca423630cf,1,1,3776,0.02581
03141c3487,1,0,2866,0.00912
d4a79b54c1,1,1,3427,0.02556
fd4d6856ef,1,1,8713,0.01105
0e01ca021b,1,0,4145,0.01723
8d9c015e74,1,1,7759,0.00161
78aee80aa3,0,1,6983,0.04838
b644693864,1,1,9738,0.00902
5333003062,1,0,2369,0.1014
e67d2308fd,1,1,26765,0.04046
bc552e5b3c,1,1,3076,0.0084
e60e7c6bfc,1,0,3593,0.01153
33d175a738,1,0,6372,-0.00107
068d636ad0,1,0,12900,0.02896
2264b4682d,0,1,1174,0.17937
49f67cfeb0,1,1,26792,0.05127
42ccc3d77f,0,1,6204,0.03515
9bef2312f1,0,1,2783,0.06396
146a131d3c,0,0,1939,0.00951
6e7a85dc22,1,1,26102,0.03959
8eb197516c,0,0,14230,-0.00396
ee45118587,0,1,25208,0.01876
020bb42fda,0,0,4477,0.03258
d222ed2a50,1,0,1379,0.02235
38a653528f,1,0,12050,0.02348
1e8d9e1ba6,0,0,6125,0.01579
